,zipcode,median_household_income,majority_num_contams,mean_num_contams,median_num_contams,num_served,num_contams_exceeding_guidelines,util_name
10,20615,136528.0,7,4.6,5.0,33810,"[1, 6, 5, 2, 1, 6, 7, 7, 5, 6, 5, 6, 4, 3, 4, 0, 6, 4, 3, 3, 7, 6, 7, 6, 5, 6, 5, 4, 3, 5]","['B&l Mobile Home Park', 'Beaches Water Co-operative', 'Calvert Beach - Decatur Street', 'Calvert Beach / Forest Trail', 'Calvert Mobile Home Park', 'Cavalier Country', 'Chesapeake Heights (bayside Forest)', 'Chesapeake Ranch Estates', 'Cross Point Subdivision', 'Dares Beach', 'Hunting Hills', 'Kenwood Beach', 'Lakewood', 'Marley Run', 'Paris Oaks / Days End', 'Pine Trailer Park', 'Prince Frederick', 'Regency Manor Mobile Home Park', 'Scientists Cliffs', 'Shores of Calvert', 'Solomons', 'St. Leonard', 'Summit/highlands', 'Tapestry North', 'Tara Subdivision', 'Town of Chesapeake Beach', 'Town of North Beach', 'Walnut Creek', 'Western Shores', 'White Sands']"
11,20616,101192.0,5,5.1,5.0,109734,"[5, 5, 6, 5, 8, 3, 6, 3, 6, 4]","['Waldorf', 'Town of La Plata', 'Bryans Road', 'Town of Indian Head', 'Naval Support Facility, Indian Head', 'Potomac Heights', 'Swan Point', 'Cliffton On The Potomac', 'Hunters Brooke/falcon Ridge Subdivision', 'Charles County Gardens Water']"
12,20617,113478.0,5,5.1,5.0,109734,"[5, 5, 6, 5, 8, 3, 6, 3, 6, 4]","['Waldorf', 'Town of La Plata', 'Bryans Road', 'Town of Indian Head', 'Naval Support Facility, Indian Head', 'Potomac Heights', 'Swan Point', 'Cliffton On The Potomac', 'Hunters Brooke/falcon Ridge Subdivision', 'Charles County Gardens Water']"
13,20618,52175.0,7,4.8,3.0,73704,"[7, 8, 3, 3, 3]","['Lexington Park', 'Patuxent Naval Air Station (NAVFAC-WASH)', 'Country Lakes', 'Town of Leonardtown', 'Cedar Cove']"
14,20619,100986.0,7,4.8,3.0,73704,"[7, 8, 3, 3, 3]","['Lexington Park', 'Patuxent Naval Air Station (NAVFAC-WASH)', 'Country Lakes', 'Town of Leonardtown', 'Cedar Cove']"
15,20620,137143.0,7,4.8,3.0,73704,"[7, 8, 3, 3, 3]","['Lexington Park', 'Patuxent Naval Air Station (NAVFAC-WASH)', 'Country Lakes', 'Town of Leonardtown', 'Cedar Cove']"
16,20621,0.0,7,4.8,3.0,73704,"[7, 8, 3, 3, 3]","['Lexington Park', 'Patuxent Naval Air Station (NAVFAC-WASH)', 'Country Lakes', 'Town of Leonardtown', 'Cedar Cove']"
17,20622,101544.0,5,5.3,5.0,178784,"[5, 7, 8, 5, 6, 5, 8, 3, 3, 3]","['Waldorf', 'Lexington Park', 'Patuxent Naval Air Station (NAVFAC-WASH)', 'Town of La Plata', 'Bryans Road', 'Town of Indian Head', 'Naval Support Facility, Indian Head', 'Country Lakes', 'Town of Leonardtown', 'Cedar Cove']"
18,20623,126591.0,6,3.6,4.0,26410,"[4, 5, 3, 6, 0]","['Calvert Manor', 'Cedarville Mobile Home Park', 'Cheltenham Boys Village', 'City of Bowie', nan]"
19,20624,149333.0,7,4.8,3.0,73704,"[7, 8, 3, 3, 3]","['Lexington Park', 'Patuxent Naval Air Station (NAVFAC-WASH)', 'Country Lakes', 'Town of Leonardtown', 'Cedar Cove']"
20,20625,115491.0,5,5.1,5.0,109734,"[5, 5, 6, 5, 8, 3, 6, 3, 6, 4]","['Waldorf', 'Town of La Plata', 'Bryans Road', 'Town of Indian Head', 'Naval Support Facility, Indian Head', 'Potomac Heights', 'Swan Point', 'Cliffton On The Potomac', 'Hunters Brooke/falcon Ridge Subdivision', 'Charles County Gardens Water']"
21,20626,55694.0,7,4.8,3.0,73704,"[7, 8, 3, 3, 3]","['Lexington Park', 'Patuxent Naval Air Station (NAVFAC-WASH)', 'Country Lakes', 'Town of Leonardtown', 'Cedar Cove']"
22,20628,101025.0,7,4.8,3.0,73704,"[7, 8, 3, 3, 3]","['Lexington Park', 'Patuxent Naval Air Station (NAVFAC-WASH)', 'Country Lakes', 'Town of Leonardtown', 'Cedar Cove']"
23,20629,76618.0,7,4.6,5.0,33810,"[1, 6, 5, 2, 1, 6, 7, 7, 5, 6, 5, 6, 4, 3, 4, 0, 6, 4, 3, 3, 7, 6, 7, 6, 5, 6, 5, 4, 3, 5]","['B&l Mobile Home Park', 'Beaches Water Co-operative', 'Calvert Beach - Decatur Street', 'Calvert Beach / Forest Trail', 'Calvert Mobile Home Park', 'Cavalier Country', 'Chesapeake Heights (bayside Forest)', 'Chesapeake Ranch Estates', 'Cross Point Subdivision', 'Dares Beach', 'Hunting Hills', 'Kenwood Beach', 'Lakewood', 'Marley Run', 'Paris Oaks / Days End', 'Pine Trailer Park', 'Prince Frederick', 'Regency Manor Mobile Home Park', 'Scientists Cliffs', 'Shores of Calvert', 'Solomons', 'St. Leonard', 'Summit/highlands', 'Tapestry North', 'Tara Subdivision', 'Town of Chesapeake Beach', 'Town of North Beach', 'Walnut Creek', 'Western Shores', 'White Sands']"
24,20630,177760.0,7,4.8,3.0,73704,"[7, 8, 3, 3, 3]","['Lexington Park', 'Patuxent Naval Air Station (NAVFAC-WASH)', 'Country Lakes', 'Town of Leonardtown', 'Cedar Cove']"
25,20632,0.0,5,5.1,5.0,109734,"[5, 5, 6, 5, 8, 3, 6, 3, 6, 4]","['Waldorf', 'Town of La Plata', 'Bryans Road', 'Town of Indian Head', 'Naval Support Facility, Indian Head', 'Potomac Heights', 'Swan Point', 'Cliffton On The Potomac', 'Hunters Brooke/falcon Ridge Subdivision', 'Charles County Gardens Water']"
26,20634,116123.0,7,4.8,3.0,73704,"[7, 8, 3, 3, 3]","['Lexington Park', 'Patuxent Naval Air Station (NAVFAC-WASH)', 'Country Lakes', 'Town of Leonardtown', 'Cedar Cove']"
27,20636,129948.0,7,4.8,3.0,73704,"[7, 8, 3, 3, 3]","['Lexington Park', 'Patuxent Naval Air Station (NAVFAC-WASH)', 'Country Lakes', 'Town of Leonardtown', 'Cedar Cove']"
28,20637,130547.0,5,5.1,5.0,109734,"[5, 5, 6, 5, 8, 3, 6, 3, 6, 4]","['Waldorf', 'Town of La Plata', 'Bryans Road', 'Town of Indian Head', 'Naval Support Facility, Indian Head', 'Potomac Heights', 'Swan Point', 'Cliffton On The Potomac', 'Hunters Brooke/falcon Ridge Subdivision', 'Charles County Gardens Water']"
29,20639,136875.0,7,4.6,5.0,33810,"[1, 6, 5, 2, 1, 6, 7, 7, 5, 6, 5, 6, 4, 3, 4, 0, 6, 4, 3, 3, 7, 6, 7, 6, 5, 6, 5, 4, 3, 5]","['B&l Mobile Home Park', 'Beaches Water Co-operative', 'Calvert Beach - Decatur Street', 'Calvert Beach / Forest Trail', 'Calvert Mobile Home Park', 'Cavalier Country', 'Chesapeake Heights (bayside Forest)', 'Chesapeake Ranch Estates', 'Cross Point Subdivision', 'Dares Beach', 'Hunting Hills', 'Kenwood Beach', 'Lakewood', 'Marley Run', 'Paris Oaks / Days End', 'Pine Trailer Park', 'Prince Frederick', 'Regency Manor Mobile Home Park', 'Scientists Cliffs', 'Shores of Calvert', 'Solomons', 'St. Leonard', 'Summit/highlands', 'Tapestry North', 'Tara Subdivision', 'Town of Chesapeake Beach', 'Town of North Beach', 'Walnut Creek', 'Western Shores', 'White Sands']"
30,20640,80375.0,5,5.1,5.0,109734,"[5, 5, 6, 5, 8, 3, 6, 3, 6, 4]","['Waldorf', 'Town of La Plata', 'Bryans Road', 'Town of Indian Head', 'Naval Support Facility, Indian Head', 'Potomac Heights', 'Swan Point', 'Cliffton On The Potomac', 'Hunters Brooke/falcon Ridge Subdivision', 'Charles County Gardens Water']"
31,20645,131719.0,5,5.1,5.0,109734,"[5, 5, 6, 5, 8, 3, 6, 3, 6, 4]","['Waldorf', 'Town of La Plata', 'Bryans Road', 'Town of Indian Head', 'Naval Support Facility, Indian Head', 'Potomac Heights', 'Swan Point', 'Cliffton On The Potomac', 'Hunters Brooke/falcon Ridge Subdivision', 'Charles County Gardens Water']"
32,20646,119306.0,5,5.1,5.0,109734,"[5, 5, 6, 5, 8, 3, 6, 3, 6, 4]","['Waldorf', 'Town of La Plata', 'Bryans Road', 'Town of Indian Head', 'Naval Support Facility, Indian Head', 'Potomac Heights', 'Swan Point', 'Cliffton On The Potomac', 'Hunters Brooke/falcon Ridge Subdivision', 'Charles County Gardens Water']"
33,20650,127288.0,7,4.8,3.0,73704,"[7, 8, 3, 3, 3]","['Lexington Park', 'Patuxent Naval Air Station (NAVFAC-WASH)', 'Country Lakes', 'Town of Leonardtown', 'Cedar Cove']"
34,20653,81838.0,7,4.8,3.0,73704,"[7, 8, 3, 3, 3]","['Lexington Park', 'Patuxent Naval Air Station (NAVFAC-WASH)', 'Country Lakes', 'Town of Leonardtown', 'Cedar Cove']"
35,20656,50547.0,7,4.8,3.0,73704,"[7, 8, 3, 3, 3]","['Lexington Park', 'Patuxent Naval Air Station (NAVFAC-WASH)', 'Country Lakes', 'Town of Leonardtown', 'Cedar Cove']"
36,20657,108640.0,7,4.6,5.0,33810,"[1, 6, 5, 2, 1, 6, 7, 7, 5, 6, 5, 6, 4, 3, 4, 0, 6, 4, 3, 3, 7, 6, 7, 6, 5, 6, 5, 4, 3, 5]","['B&l Mobile Home Park', 'Beaches Water Co-operative', 'Calvert Beach - Decatur Street', 'Calvert Beach / Forest Trail', 'Calvert Mobile Home Park', 'Cavalier Country', 'Chesapeake Heights (bayside Forest)', 'Chesapeake Ranch Estates', 'Cross Point Subdivision', 'Dares Beach', 'Hunting Hills', 'Kenwood Beach', 'Lakewood', 'Marley Run', 'Paris Oaks / Days End', 'Pine Trailer Park', 'Prince Frederick', 'Regency Manor Mobile Home Park', 'Scientists Cliffs', 'Shores of Calvert', 'Solomons', 'St. Leonard', 'Summit/highlands', 'Tapestry North', 'Tara Subdivision', 'Town of Chesapeake Beach', 'Town of North Beach', 'Walnut Creek', 'Western Shores', 'White Sands']"
37,20658,75500.0,5,5.1,5.0,109734,"[5, 5, 6, 5, 8, 3, 6, 3, 6, 4]","['Waldorf', 'Town of La Plata', 'Bryans Road', 'Town of Indian Head', 'Naval Support Facility, Indian Head', 'Potomac Heights', 'Swan Point', 'Cliffton On The Potomac', 'Hunters Brooke/falcon Ridge Subdivision', 'Charles County Gardens Water']"
38,20659,108183.0,5,5.3,5.0,178784,"[5, 7, 8, 5, 6, 5, 8, 3, 3, 3]","['Waldorf', 'Lexington Park', 'Patuxent Naval Air Station (NAVFAC-WASH)', 'Town of La Plata', 'Bryans Road', 'Town of Indian Head', 'Naval Support Facility, Indian Head', 'Country Lakes', 'Town of Leonardtown', 'Cedar Cove']"
39,20660,0.0,7,4.8,3.0,73704,"[7, 8, 3, 3, 3]","['Lexington Park', 'Patuxent Naval Air Station (NAVFAC-WASH)', 'Country Lakes', 'Town of Leonardtown', 'Cedar Cove']"
40,20661,0.0,5,5.1,5.0,109734,"[5, 5, 6, 5, 8, 3, 6, 3, 6, 4]","['Waldorf', 'Town of La Plata', 'Bryans Road', 'Town of Indian Head', 'Naval Support Facility, Indian Head', 'Potomac Heights', 'Swan Point', 'Cliffton On The Potomac', 'Hunters Brooke/falcon Ridge Subdivision', 'Charles County Gardens Water']"
41,20662,59356.0,5,5.1,5.0,109734,"[5, 5, 6, 5, 8, 3, 6, 3, 6, 4]","['Waldorf', 'Town of La Plata', 'Bryans Road', 'Town of Indian Head', 'Naval Support Facility, Indian Head', 'Potomac Heights', 'Swan Point', 'Cliffton On The Potomac', 'Hunters Brooke/falcon Ridge Subdivision', 'Charles County Gardens Water']"
42,20664,88167.0,5,5.1,5.0,109734,"[5, 5, 6, 5, 8, 3, 6, 3, 6, 4]","['Waldorf', 'Town of La Plata', 'Bryans Road', 'Town of Indian Head', 'Naval Support Facility, Indian Head', 'Potomac Heights', 'Swan Point', 'Cliffton On The Potomac', 'Hunters Brooke/falcon Ridge Subdivision', 'Charles County Gardens Water']"
43,20667,36048.0,7,4.8,3.0,73704,"[7, 8, 3, 3, 3]","['Lexington Park', 'Patuxent Naval Air Station (NAVFAC-WASH)', 'Country Lakes', 'Town of Leonardtown', 'Cedar Cove']"
44,20670,70000.0,7,4.8,3.0,73704,"[7, 8, 3, 3, 3]","['Lexington Park', 'Patuxent Naval Air Station (NAVFAC-WASH)', 'Country Lakes', 'Town of Leonardtown', 'Cedar Cove']"
45,20674,0.0,7,4.8,3.0,73704,"[7, 8, 3, 3, 3]","['Lexington Park', 'Patuxent Naval Air Station (NAVFAC-WASH)', 'Country Lakes', 'Town of Leonardtown', 'Cedar Cove']"
46,20675,101941.0,5,5.1,5.0,109734,"[5, 5, 6, 5, 8, 3, 6, 3, 6, 4]","['Waldorf', 'Town of La Plata', 'Bryans Road', 'Town of Indian Head', 'Naval Support Facility, Indian Head', 'Potomac Heights', 'Swan Point', 'Cliffton On The Potomac', 'Hunters Brooke/falcon Ridge Subdivision', 'Charles County Gardens Water']"
47,20676,134669.0,7,4.6,5.0,33810,"[1, 6, 5, 2, 1, 6, 7, 7, 5, 6, 5, 6, 4, 3, 4, 0, 6, 4, 3, 3, 7, 6, 7, 6, 5, 6, 5, 4, 3, 5]","['B&l Mobile Home Park', 'Beaches Water Co-operative', 'Calvert Beach - Decatur Street', 'Calvert Beach / Forest Trail', 'Calvert Mobile Home Park', 'Cavalier Country', 'Chesapeake Heights (bayside Forest)', 'Chesapeake Ranch Estates', 'Cross Point Subdivision', 'Dares Beach', 'Hunting Hills', 'Kenwood Beach', 'Lakewood', 'Marley Run', 'Paris Oaks / Days End', 'Pine Trailer Park', 'Prince Frederick', 'Regency Manor Mobile Home Park', 'Scientists Cliffs', 'Shores of Calvert', 'Solomons', 'St. Leonard', 'Summit/highlands', 'Tapestry North', 'Tara Subdivision', 'Town of Chesapeake Beach', 'Town of North Beach', 'Walnut Creek', 'Western Shores', 'White Sands']"
48,20677,128750.0,5,5.1,5.0,109734,"[5, 5, 6, 5, 8, 3, 6, 3, 6, 4]","['Waldorf', 'Town of La Plata', 'Bryans Road', 'Town of Indian Head', 'Naval Support Facility, Indian Head', 'Potomac Heights', 'Swan Point', 'Cliffton On The Potomac', 'Hunters Brooke/falcon Ridge Subdivision', 'Charles County Gardens Water']"
49,20678,109474.0,7,4.6,5.0,33810,"[1, 6, 5, 2, 1, 6, 7, 7, 5, 6, 5, 6, 4, 3, 4, 0, 6, 4, 3, 3, 7, 6, 7, 6, 5, 6, 5, 4, 3, 5]","['B&l Mobile Home Park', 'Beaches Water Co-operative', 'Calvert Beach - Decatur Street', 'Calvert Beach / Forest Trail', 'Calvert Mobile Home Park', 'Cavalier Country', 'Chesapeake Heights (bayside Forest)', 'Chesapeake Ranch Estates', 'Cross Point Subdivision', 'Dares Beach', 'Hunting Hills', 'Kenwood Beach', 'Lakewood', 'Marley Run', 'Paris Oaks / Days End', 'Pine Trailer Park', 'Prince Frederick', 'Regency Manor Mobile Home Park', 'Scientists Cliffs', 'Shores of Calvert', 'Solomons', 'St. Leonard', 'Summit/highlands', 'Tapestry North', 'Tara Subdivision', 'Town of Chesapeake Beach', 'Town of North Beach', 'Walnut Creek', 'Western Shores', 'White Sands']"
50,20680,98750.0,7,4.8,3.0,73704,"[7, 8, 3, 3, 3]","['Lexington Park', 'Patuxent Naval Air Station (NAVFAC-WASH)', 'Country Lakes', 'Town of Leonardtown', 'Cedar Cove']"
51,20684,102361.0,7,4.8,3.0,73704,"[7, 8, 3, 3, 3]","['Lexington Park', 'Patuxent Naval Air Station (NAVFAC-WASH)', 'Country Lakes', 'Town of Leonardtown', 'Cedar Cove']"
52,20685,114323.0,7,4.6,5.0,33810,"[1, 6, 5, 2, 1, 6, 7, 7, 5, 6, 5, 6, 4, 3, 4, 0, 6, 4, 3, 3, 7, 6, 7, 6, 5, 6, 5, 4, 3, 5]","['B&l Mobile Home Park', 'Beaches Water Co-operative', 'Calvert Beach - Decatur Street', 'Calvert Beach / Forest Trail', 'Calvert Mobile Home Park', 'Cavalier Country', 'Chesapeake Heights (bayside Forest)', 'Chesapeake Ranch Estates', 'Cross Point Subdivision', 'Dares Beach', 'Hunting Hills', 'Kenwood Beach', 'Lakewood', 'Marley Run', 'Paris Oaks / Days End', 'Pine Trailer Park', 'Prince Frederick', 'Regency Manor Mobile Home Park', 'Scientists Cliffs', 'Shores of Calvert', 'Solomons', 'St. Leonard', 'Summit/highlands', 'Tapestry North', 'Tara Subdivision', 'Town of Chesapeake Beach', 'Town of North Beach', 'Walnut Creek', 'Western Shores', 'White Sands']"
53,20686,0.0,7,4.8,3.0,73704,"[7, 8, 3, 3, 3]","['Lexington Park', 'Patuxent Naval Air Station (NAVFAC-WASH)', 'Country Lakes', 'Town of Leonardtown', 'Cedar Cove']"
54,20687,130463.0,7,4.8,3.0,73704,"[7, 8, 3, 3, 3]","['Lexington Park', 'Patuxent Naval Air Station (NAVFAC-WASH)', 'Country Lakes', 'Town of Leonardtown', 'Cedar Cove']"
55,20688,115680.0,7,4.6,5.0,33810,"[1, 6, 5, 2, 1, 6, 7, 7, 5, 6, 5, 6, 4, 3, 4, 0, 6, 4, 3, 3, 7, 6, 7, 6, 5, 6, 5, 4, 3, 5]","['B&l Mobile Home Park', 'Beaches Water Co-operative', 'Calvert Beach - Decatur Street', 'Calvert Beach / Forest Trail', 'Calvert Mobile Home Park', 'Cavalier Country', 'Chesapeake Heights (bayside Forest)', 'Chesapeake Ranch Estates', 'Cross Point Subdivision', 'Dares Beach', 'Hunting Hills', 'Kenwood Beach', 'Lakewood', 'Marley Run', 'Paris Oaks / Days End', 'Pine Trailer Park', 'Prince Frederick', 'Regency Manor Mobile Home Park', 'Scientists Cliffs', 'Shores of Calvert', 'Solomons', 'St. Leonard', 'Summit/highlands', 'Tapestry North', 'Tara Subdivision', 'Town of Chesapeake Beach', 'Town of North Beach', 'Walnut Creek', 'Western Shores', 'White Sands']"
56,20689,165066.0,7,4.6,5.0,33810,"[1, 6, 5, 2, 1, 6, 7, 7, 5, 6, 5, 6, 4, 3, 4, 0, 6, 4, 3, 3, 7, 6, 7, 6, 5, 6, 5, 4, 3, 5]","['B&l Mobile Home Park', 'Beaches Water Co-operative', 'Calvert Beach - Decatur Street', 'Calvert Beach / Forest Trail', 'Calvert Mobile Home Park', 'Cavalier Country', 'Chesapeake Heights (bayside Forest)', 'Chesapeake Ranch Estates', 'Cross Point Subdivision', 'Dares Beach', 'Hunting Hills', 'Kenwood Beach', 'Lakewood', 'Marley Run', 'Paris Oaks / Days End', 'Pine Trailer Park', 'Prince Frederick', 'Regency Manor Mobile Home Park', 'Scientists Cliffs', 'Shores of Calvert', 'Solomons', 'St. Leonard', 'Summit/highlands', 'Tapestry North', 'Tara Subdivision', 'Town of Chesapeake Beach', 'Town of North Beach', 'Walnut Creek', 'Western Shores', 'White Sands']"
57,20690,136339.0,7,4.8,3.0,73704,"[7, 8, 3, 3, 3]","['Lexington Park', 'Patuxent Naval Air Station (NAVFAC-WASH)', 'Country Lakes', 'Town of Leonardtown', 'Cedar Cove']"
58,20692,161316.0,7,4.8,3.0,73704,"[7, 8, 3, 3, 3]","['Lexington Park', 'Patuxent Naval Air Station (NAVFAC-WASH)', 'Country Lakes', 'Town of Leonardtown', 'Cedar Cove']"
59,20693,142045.0,5,5.1,5.0,109734,"[5, 5, 6, 5, 8, 3, 6, 3, 6, 4]","['Waldorf', 'Town of La Plata', 'Bryans Road', 'Town of Indian Head', 'Naval Support Facility, Indian Head', 'Potomac Heights', 'Swan Point', 'Cliffton On The Potomac', 'Hunters Brooke/falcon Ridge Subdivision', 'Charles County Gardens Water']"
60,20695,118085.0,5,5.1,5.0,109734,"[5, 5, 6, 5, 8, 3, 6, 3, 6, 4]","['Waldorf', 'Town of La Plata', 'Bryans Road', 'Town of Indian Head', 'Naval Support Facility, Indian Head', 'Potomac Heights', 'Swan Point', 'Cliffton On The Potomac', 'Hunters Brooke/falcon Ridge Subdivision', 'Charles County Gardens Water']"
61,20701,73723.0,5,3.966666666666667,4.0,753045,"[4, 4, 5, 3, 6, 6, 5, 5, 5, 3, 1, 3, 7, 3, 3, 2, 1, 5, 5, 7, 4, 7, 2, 0, 3, 6, 6, 7, 1, 0]","['Boones Mobile Estates', 'Broad Creek', 'City of Annapolis', 'Crofton-Odenton', 'Crownsville Hospital Center', 'Epping Forest', 'Fort George G. Meade', 'Gibson Island', 'Glen Burnie-Broadneck', 'Herald Harbor', 'Holiday Mobile Estates Inc.', 'Howard County Department of Public Works', 'Lake Village Townhomes', ""Lutheran Village At Miller's Grant"", 'Lyons Creek Estates', 'Maryland Manor Mobile Home Park', 'Mayo Center and Apartments', 'Patuxent Mobile Estates', 'Regency Park Assisted Living Residence', 'Rose Haven', 'Severn Water Company', 'Sherwood Forest Water Company', 'Summerhill Mobile Home Park', 'Tebbston On Magothy', 'The Provinces', 'U.s. Naval Academy', 'Villas At Cattail Creek', 'Waysons Mobile Court', 'Welshs Trailer Park', 'Woodland Beach Community Association']"
62,20705,95802.0,6,5.5,5.5,1883810,"[4, 5, 3, 6, 9, 0, 11, 6]","['Calvert Manor', 'Cedarville Mobile Home Park', 'Cheltenham Boys Village', 'City of Bowie', 'City of Rockville', nan, 'Town of Poolesville', 'Washington Suburban Sanitary Commission']"
63,20706,91668.0,6,3.6,4.0,26410,"[4, 5, 3, 6, 0]","['Calvert Manor', 'Cedarville Mobile Home Park', 'Cheltenham Boys Village', 'City of Bowie', nan]"
64,20707,91315.0,6,5.5,5.5,1883810,"[4, 5, 3, 6, 9, 0, 11, 6]","['Calvert Manor', 'Cedarville Mobile Home Park', 'Cheltenham Boys Village', 'City of Bowie', 'City of Rockville', nan, 'Town of Poolesville', 'Washington Suburban Sanitary Commission']"
65,20708,73025.0,6,3.6,4.0,26410,"[4, 5, 3, 6, 0]","['Calvert Manor', 'Cedarville Mobile Home Park', 'Cheltenham Boys Village', 'City of Bowie', nan]"
66,20710,54435.0,6,3.6,4.0,26410,"[4, 5, 3, 6, 0]","['Calvert Manor', 'Cedarville Mobile Home Park', 'Cheltenham Boys Village', 'City of Bowie', nan]"
67,20711,89286.0,5,3.962962962962963,4.0,505560,"[4, 4, 5, 3, 6, 6, 5, 5, 5, 3, 1, 7, 3, 2, 1, 5, 5, 7, 4, 7, 2, 0, 3, 6, 7, 1, 0]","['Boones Mobile Estates', 'Broad Creek', 'City of Annapolis', 'Crofton-Odenton', 'Crownsville Hospital Center', 'Epping Forest', 'Fort George G. Meade', 'Gibson Island', 'Glen Burnie-Broadneck', 'Herald Harbor', 'Holiday Mobile Estates Inc.', 'Lake Village Townhomes', 'Lyons Creek Estates', 'Maryland Manor Mobile Home Park', 'Mayo Center and Apartments', 'Patuxent Mobile Estates', 'Regency Park Assisted Living Residence', 'Rose Haven', 'Severn Water Company', 'Sherwood Forest Water Company', 'Summerhill Mobile Home Park', 'Tebbston On Magothy', 'The Provinces', 'U.s. Naval Academy', 'Waysons Mobile Court', 'Welshs Trailer Park', 'Woodland Beach Community Association']"
68,20712,59624.0,6,3.6,4.0,26410,"[4, 5, 3, 6, 0]","['Calvert Manor', 'Cedarville Mobile Home Park', 'Cheltenham Boys Village', 'City of Bowie', nan]"
69,20714,79655.0,5,5.1,5.0,506023,"[5, 3, 5, 5, 4, 6, 7, 4, 6, 6]","['Glen Burnie-Broadneck', 'Crofton-Odenton', 'Fort George G. Meade', 'City of Annapolis', 'Broad Creek', 'U.s. Naval Academy', 'Chesapeake Ranch Estates', 'Severn Water Company', 'Town of Chesapeake Beach', 'Prince Frederick']"
70,20715,130847.0,6,3.6,4.0,26410,"[4, 5, 3, 6, 0]","['Calvert Manor', 'Cedarville Mobile Home Park', 'Cheltenham Boys Village', 'City of Bowie', nan]"
71,20716,109177.0,6,3.6,4.0,26410,"[4, 5, 3, 6, 0]","['Calvert Manor', 'Cedarville Mobile Home Park', 'Cheltenham Boys Village', 'City of Bowie', nan]"
72,20720,147635.0,6,3.6,4.0,26410,"[4, 5, 3, 6, 0]","['Calvert Manor', 'Cedarville Mobile Home Park', 'Cheltenham Boys Village', 'City of Bowie', nan]"
73,20721,148158.0,6,3.6,4.0,26410,"[4, 5, 3, 6, 0]","['Calvert Manor', 'Cedarville Mobile Home Park', 'Cheltenham Boys Village', 'City of Bowie', nan]"
74,20722,77146.0,6,3.6,4.0,26410,"[4, 5, 3, 6, 0]","['Calvert Manor', 'Cedarville Mobile Home Park', 'Cheltenham Boys Village', 'City of Bowie', nan]"
